gwb_code_10;gwb_code_8;regio;gm_naam;recs;gwb_code;ind_wbi;a_inw;a_man;a_vrouw;a_00_14;a_15_24;a_25_44;a_45_64;a_65_oo;a_ongeh;a_gehuwd;a_gesch;a_verwed;a_w_all;a_nw_all;a_marok;a_antaru;a_suri;a_tur;a_ov_nw;a_geb;p_geb;a_ste;p_ste;a_hh;a_1p_hh;a_hh_z_k;a_hh_m_k;g_hhgro;bev_dich;a_woning;g_woz;p_1gezw;p_mgezw;p_bewndw;p_leegsw;p_koopw;p_huurw;p_wcorpw;p_ov_hw;p_e_o_w;p_bjj2k;p_bjo2k;g_ele;g_ele_ap;g_ele_tw;g_ele_hw;g_ele_2w;g_ele_vw;g_ele_hu;g_ele_ko;g_gas;g_gas_ap;g_gas_tw;g_gas_hw;g_gas_2w;g_gas_vw;g_gas_hu;g_gas_ko;p_stadsv;a_inkont;g_ink_po;g_ink_pi;p_ink_li;p_ink_hi;p_n_act;p_hh_li;p_hh_hi;p_hh_lkk;p_hh_osm;a_soz_wb;a_soz_ao;a_soz_ww;a_soz_ow;g_wodief;g_vernoo;g_gewsek;a_bedv;a_bed_a;a_bed_bf;a_bed_gi;a_bed_hj;a_bed_kl;a_bed_mn;a_bed_ru;a_pau;a_bst_b;a_bst_nb;g_pau_hh;g_pau_km;a_m2w;g_afs_hp;g_afs_gs;g_afs_kv;g_afs_sc;g_3km_sc;a_opp_ha;a_lan_ha;a_wat_ha;pst_mvp;pst_dekp;ste_mvs;ste_oad
GM0003;0003;Appingedam;Appingedam;Gemeente;GM0003;.;11721;5720;6001;1718;1238;2376;3491;2898;4981;4874;1048;818;850;834;46;103;80;256;349;;;;;5531;2097;1729;1705;2,1;493;6032;144;72;28;93;7;48;52;43;8;0;83;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;480;730;170;.;;;;;;;;;;;;5520;4715;805;1,0;232;560;;;;;;2458;2378;80;.;.;3;1067
GM0010;0010;Delfzijl;Delfzijl;Gemeente;GM0010;.;24716;12408;12308;3498;2625;4856;7552;6185;10364;10501;2063;1788;1898;2599;31;667;269;570;1062;;;;;11571;4292;3745;3534;2,1;186;12182;127;78;22;93;7;62;38;28;10;0;90;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;970;1280;370;.;;;;;;;;;;;;12505;10260;2245;1,1;94;1270;;;;;;22750;13307;9443;.;.;4;673
GM0014;0014;Groningen;Groningen;Gemeente;GM0014;.;231299;114937;116362;28822;50342;67886;50900;33349;150951;55871;16234;8243;28190;27220;1274;3865;3415;1680;16986;;;;;135076;79635;29723;25718;1,7;1246;114733;.;40;60;96;4;42;58;34;24;0;85;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;10850;8910;3100;.;;;;;;;;;;;;92870;67645;25225;0,7;500;6210;;;;;;19796;18560;1236;.;.;1;3219
GM0024;0024;Loppersum;Loppersum;Gemeente;GM0024;.;9614;4881;4733;1447;1052;1893;3099;2123;4187;4212;708;507;395;212;2;38;24;10;138;;;;;4282;1390;1506;1386;2,2;87;4698;154;91;9;91;9;65;35;28;7;0;92;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;220;440;120;.;;;;;;;;;;;;5160;3990;1170;1,2;46;730;;;;;;11199;11104;95;.;.;5;213
GM0034;0034;Almere;Almere;Gemeente;GM0034;.;207904;103082;104822;39067;26989;57771;60643;23434;108536;74912;18746;5710;22276;66466;8174;5287;23912;3951;25142;;;;;87390;27837;21444;38109;2,4;1609;84161;219;73;27;98;2;64;36;27;8;0;67;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;5730;9630;3810;.;;;;;;;;;;;;270555;154295;116260;.;.;7235;;;;;;24877;12919;11958;.;.;2;1601
GM0037;0037;Stadskanaal;Stadskanaal;Gemeente;GM0037;.;31789;15730;16059;4531;3488;6326;9514;7930;12890;13863;2602;2434;1440;989;32;57;115;24;761;;;;;14598;5121;4896;4581;2,1;270;15253;161;78;22;95;5;60;39;31;8;1;88;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;2120;440;.;;;;;;;;;;;;16930;13675;3255;1,2;144;1645;;;;;;11994;11764;230;.;.;4;837
GM0047;0047;Veendam;Veendam;Gemeente;GM0047;.;27491;13685;13806;4128;3045;5769;8376;6173;11687;11551;2455;1798;1505;2039;50;120;276;855;738;;;;;12626;4372;4094;4160;2,2;362;12816;143;79;21;97;3;65;35;25;10;0;89;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;1020;1650;450;.;;;;;;;;;;;;14630;11745;2885;1,2;192;1475;;;;;;7868;7600;268;.;.;3;1001
GM0050;0050;Zeewolde;Zeewolde;Gemeente;GM0050;.;22309;11392;10917;3983;3094;5372;7006;2854;10302;9618;1706;683;2659;1210;90;101;142;77;800;;;;;9393;2928;2728;3737;2,4;90;8553;254;86;14;98;2;70;30;23;6;0;69;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;800;310;.;;;;;;;;;;;;15915;10625;5290;1,7;64;1035;;;;;;26886;24723;2163;.;.;4;806
GM0059;0059;Achtkarspelen;Achtkarspelen;Gemeente;GM0059;.;27852;14167;13685;4936;3360;6190;7908;5458;12607;11868;1809;1568;633;609;16;27;27;8;531;;;;;11717;3532;3686;4499;2,4;272;12118;181;88;12;97;3;64;36;31;5;0;89;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;650;1200;440;.;;;;;;;;;;;;14875;10660;4215;1,3;145;1230;;;;;;10398;10223;175;.;.;5;427
GM0060;0060;Ameland;Ameland;Gemeente;GM0060;.;3673;1819;1854;585;381;848;1031;828;1677;1568;216;212;230;64;6;5;1;0;52;;;;;1712;665;540;507;2,1;62;1731;248;80;20;87;13;68;31;0;31;1;89;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;90;60;.;;;;;;;;;;;;1845;1650;195;1,1;31;300;;;;;;26850;5911;20939;.;.;5;253
