gem_code;opp_geen_water;;
1680;27885;;
738;5315;;
358;3238;;
197;9705;;
59;10399;;
482;1004;;
613;2366;;
361;3125;;
141;6944;;
34;13958;;
484;13263;;
1723;9354;;
60;5931;;
307;6377;;
362;4407;;
363;19670;;
200;34099;;
3;2447;;
202;10160;;
106;8348;;
743;7136;;
744;7627;;
308;3301;;
489;2170;;
203;17670;;
5;4493;;
888;2107;;
370;7210;;
889;2912;;
7;11020;;
491;3817;;
1724;10181;;
893;10842;;
373;9796;;
748;9313;;
1859;26051;;
1721;9037;;
568;5983;;
753;3506;;
209;4702;;
375;1882;;
63;9309;;
310;6717;;
585;7557;;
1728;7563;;
376;1111;;
377;4053;;
1901;8842;;
755;3459;;
9;4579;;
1681;27798;;
147;2625;;
654;14261;;
756;11371;;
757;6476;;
758;12864;;
501;3115;;
1876;28652;;
213;8495;;
899;1733;;
312;3756;;
313;3083;;
214;14293;;
381;816;;
502;1532;;
383;5523;;
109;29956;;
1706;7807;;
611;5497;;
1684;5705;;
216;3107;;
148;16661;;
1891;8759;;
503;2405;;
10;13637;;
400;4717;;
762;11842;;
150;13424;;
384;1296;;
1774;17663;;
221;1301;;
222;7967;;
766;2966;;
58;17029;;
505;9872;;
498;5972;;
1719;11935;;
303;33883;;
225;4248;;
226;3525;;
1711;10482;;
385;1710;;
228;31899;;
317;3149;;
1651;19019;;
770;8333;;
1903;7849;;
772;8903;;
230;6403;;
114;34623;;
388;1306;;
153;14270;;
232;15746;;
233;8568;;
777;5589;;
1722;9853;;
70;10431;;
1921;41786;;
779;2966;;
236;10169;;
1771;3146;;
1652;12322;;
907;5055;;
689;6498;;
784;6562;;
1924;26436;;
664;9466;;
785;4240;;
512;2194;;
513;1811;;
365;2162;;
786;2813;;
518;8474;;
241;4413;;
14;8376;;
15;8782;;
1729;7342;;
158;10559;;
788;5860;;
392;3208;;
393;2127;;
394;18521;;
1655;7528;;
160;31720;;
243;3861;;
523;1947;;
17;5072;;
72;2587;;
244;2417;;
396;2759;;
397;964;;
246;8042;;
74;19820;;
398;3995;;
917;4555;;
1658;10502;;
399;1904;;
163;13907;;
530;3242;;
794;5479;;
531;1188;;
164;6176;;
796;9167;;
252;4160;;
797;8113;;
534;1348;;
798;9648;;
402;4629;;
1735;21540;;
1911;37367;;
118;12938;;
18;7304;;
405;2079;;
1507;19209;;
321;5896;;
406;1592;;
677;20362;;
353;2170;;
1884;7220;;
166;14725;;
678;3816;;
537;2604;;
928;2206;;
1598;8334;;
79;11142;;
588;7981;;
542;894;;
1659;5619;;
1685;7065;;
882;2468;;
415;2651;;
416;2713;;
1621;5631;;
417;1243;;
22;6427;;
545;3446;;
80;17037;;
81;4145;;
546;2331;;
547;1230;;
1916;3573;;
995;25591;;
1640;16499;;
327;5883;;
733;5451;;
1705;6926;;
553;1604;;
140;13270;;
262;21604;;
809;5062;;
331;7892;;
24;11210;;
168;9977;;
1671;3736;;
263;7556;;
1641;5796;;
556;1011;;
935;6014;;
1663;17032;;
25;6482;;
420;12627;;
938;2778;;
1908;6992;;
1987;8157;;
119;5694;;
687;4991;;
1842;4939;;
1731;34593;;
815;5308;;
265;1025;;
1709;16355;;
1927;12654;;
1955;10658;;
335;3827;;
944;1876;;
424;1537;;
425;2432;;
1740;6825;;
643;3121;;
946;10173;;
304;7296;;
356;2563;;
569;9111;;
267;6995;;
268;5761;;
1695;8670;;
1699;20536;;
171;46728;;
575;3594;;
576;2344;;
820;3392;;
302;12897;;
951;3312;;
579;796;;
823;10290;;
824;6506;;
1895;24044;;
269;9817;;
173;2193;;
1773;11841;;
175;18192;;
881;2125;;
1586;11014;;
826;7310;;
85;22607;;
431;1608;;
432;4205;;
86;22769;;
828;16003;;
584;1959;;
1509;13797;;
437;2573;;
644;2861;;
589;4009;;
1734;11503;;
590;1081;;
1894;16133;;
765;5019;;
1926;3863;;
439;2449;;
273;8521;;
177;17231;;
703;11295;;
274;4718;;
339;1847;;
1667;7861;;
275;8441;;
340;4381;;
597;2531;;
196;4818;;
1742;9435;;
603;1445;;
1669;8878;;
957;7106;;
736;11704;;
1674;10705;;
599;27579;;
277;2780;;
840;6443;;
441;17170;;
458;6455;;
279;1382;;
606;1981;;
88;4410;;
844;4163;;
962;2408;;
608;694;;
1676;23597;;
965;1608;;
1702;9985;;
845;5935;;
846;6497;;
1883;8057;;
610;1396;;
40;15875;;
1714;28252;;
90;12605;;
342;4646;;
847;8155;;
848;2651;;
612;3032;;
37;11989;;
180;13578;;
532;1556;;
851;15078;;
1708;32155;;
971;2280;;
1904;10673;;
617;5195;;
1900;50593;;
715;26105;;
93;8630;;
448;16336;;
1525;3343;;
716;15592;;
281;3485;;
855;11940;;
183;14744;;
1700;10818;;
1730;14768;;
737;16141;;
282;3883;;
856;6754;;
450;2230;;
451;1933;;
184;1179;;
344;9925;;
1581;13416;;
981;2392;;
994;3692;;
858;5634;;
47;7859;;
345;1968;;
717;13470;;
860;7888;;
861;3196;;
453;4930;;
983;12887;;
984;16505;;
620;4246;;
622;2663;;
48;17061;;
96;3679;;
718;3511;;
623;5646;;
986;3148;;
626;1156;;
285;12648;;
865;3447;;
866;2256;;
867;6767;;
627;2946;;
289;3229;;
629;5275;;
852;5592;;
988;10546;;
457;2180;;
870;12182;;
668;8505;;
1701;28288;;
293;780;;
1783;8158;;
98;22861;;
614;5836;;
189;9534;;
296;6953;;
1696;7638;;
352;5019;;
53;10249;;
294;13876;;
873;9199;;
632;9308;;
1690;22607;;
880;4504;;
351;3674;;
874;5175;;
479;8325;;
297;8910;;
473;3362;;
707;7652;;
478;4037;;
50;25271;;
355;4861;;
299;5799;;
637;3698;;
638;2194;;
56;12825;;
1892;6406;;
879;12124;;
301;4283;;
1896;8691;;
642;2275;;
193;11922;;
;;;
Bron: CBS;;;
